A_07_P008351	b0332
A_07_P038289	c_1498
A_07_P050588	Z1893
A_07_P034963	c_1910
A_07_P061904	ECs1125
A_07_P038995	c_4601
A_07_P011619	b4180
A_07_P002780	b0163
A_07_P006629	b1135
A_07_P059633	ECs0236
A_07_P038615	c_1587
A_07_P035664	c_0038
A_07_P009978	b0692
A_07_P011193	b4091
A_07_P019872	b2599
A_07_P050894	Z1200
A_07_P031971	c_2539
A_07_P017353	b3684
A_07_P017677	b4399
A_07_P049229	Z0151
A_07_P020776	b1629
A_07_P040081	c_4538
A_07_P017440	b4348
A_07_P001765	b1112
A_07_P018922	b3823
A_07_P032900	c_3506
A_07_P018491	b1688
A_07_P058480	ECs1850
A_07_P013253	b2439
A_07_P016158	b1898
A_07_P055934	ECs3509
A_07_P017412	b4343
A_07_P006711	b1152
A_07_P021519	b0482
A_07_P038761	c_1651
A_07_P030878	c_0393
A_07_P020676	b1609
A_07_P037631	c_5038
A_07_P018539	b1697
A_07_P057752	ECs4747
A_07_P042976	Z3925
A_07_P040789	c_1363
A_07_P019176	b3880
A_07_P007036	b1217
A_07_P060217	ECs4506
A_07_P033342	c_0762
A_07_P017876	b3370
A_07_P047099	Z5449
A_07_P047419	Z5884
A_07_P063397	ECs3543
A_07_P009450	b1471
A_07_P039592	c_4360
A_07_P055523	ECs2802
A_07_P016680	b0584
A_07_P019981	b2622
A_07_P007165	b1245
A_07_P001070	b2256
A_07_P016305	b0503
A_07_P038863	c_1714
A_07_P041357	c_4816
A_07_P001027	b2248
A_07_P043353	Z0267
A_07_P063688	ECs4931
A_07_P041146	c_1859
A_07_P000906	b2224
A_07_P047482	Z5899
A_07_P001034	b2249
A_07_P005403	b3694
A_07_P053669	ECs0294
A_07_P055080	ECs2632
A_07_P014748	b1354
A_07_P002744	b0156
A_07_P035759	c_0106
A_07_P055701	ECs2885
A_07_P033494	c_0887
A_07_P036901	c_3814
A_07_P040713	c_1289
A_07_P014289	b2407
A_07_P012813	b3269
A_07_P048433	Z2427
A_07_P019340	b3912
A_07_P061306	ECs4970
A_07_P017187	b3649
A_07_P044143	Z2561
A_07_P041876	c_4392
A_07_P019700	b2559
A_07_P039385	c_4841
A_07_P020808	b1635
A_07_P006262	b2856
A_07_P008272	b0316
A_07_P041588	c_3042
A_07_P006203	b2844
A_07_P056819	ECs0830
A_07_P034874	c_1882
A_07_P045128	Z3251
A_07_P035295	c_2217
A_07_P011370	b4126
A_07_P006564	b2920
A_07_P043216	Z4083
A_07_P041872	c_4389
A_07_P016147	b1896
A_07_P040631	c_1271
A_07_P040271	c_1189
A_07_P003845	b4259
A_07_P046031	Z4776
A_07_P053217	ECs3215
A_07_P042367	c_2146
A_07_P053421	ECs3349
A_07_P060041	ECs4380
A_07_P032020	c_2563
A_07_P037572	c_5024
A_07_P046383	Z0948
A_07_P020199	b2669
A_07_P034382	c_4150
A_07_P018718	b1734
A_07_P030749	c_0340
A_07_P058543	ECs1901
A_07_P007422	b3497
A_07_P044835	Z3108
A_07_P039252	c_4775
A_07_P032821	c_3433
A_07_P037590	c_5029
A_07_P033063	c_3571
A_07_P039774	c_4447
A_07_P035604	c_0002
A_07_P017250	b3662
A_07_P055513	ECs2800
A_07_P054294	ECs2094
A_07_P039288	c_4793
A_07_P054890	ECs2325
A_07_P016899	b3591
A_07_P013350	b2458
A_07_P009587	b1500
A_07_P059852	ECs4290
A_07_P013130	b2414
A_07_P046015	Z4749
A_07_P051931	Z0522
A_07_P004973	b0905
A_07_P010989	b0060
A_07_P039820	c_4456
A_07_P016765	b0601
A_07_P011856	b2943
A_07_P021501	b0479
A_07_P047207	Z5578
A_07_P005064	b0923
A_07_P011748	b4206
A_07_P036984	c_5290
A_07_P040982	c_1437
A_07_P003406	b2129
A_07_P061528	ECs5070
A_07_P030380	c_3169
A_07_P007225	b1257
A_07_P008600	b3987
A_07_P051007	Z1274
A_07_P049399	Z4913
A_07_P042696	Z3614
A_07_P039912	c_4500
A_07_P002368	b2784
A_07_P058872	ECs0016
A_07_P045721	Z4315
A_07_P034356	c_4115
A_07_P005525	b3720
A_07_P010359	ABE-0285041
A_07_P045784	Z4330
A_07_P061084	ECs1622
A_07_P055125	ECs2642
A_07_P021224	b0422
A_07_P040453	c_1232
A_07_P033353	c_0764
A_07_P055431	ECs2769
A_07_P061581	ECs5137
A_07_P062145	ECs1204
A_07_P014160	b2375
A_07_P046547	Z0985
A_07_P061148	ECs1639
A_07_P043647	Z0391
A_07_P045116	Z3246
A_07_P020715	b1616
A_07_P040344	c_1204
A_07_P021285	b0434
A_07_P045662	Z4260
A_07_P057531	ECs4583
A_07_P006110	b2825
A_07_P046825	Z1157
A_07_P006648	b1139
A_07_P007753	b3565
A_07_P045219	Z3305
A_07_P010884	b0039
A_07_P009694	b0625
A_07_P003008	b0217
A_07_P000312	b3117
A_07_P040098	c_4541
A_07_P056003	ECs3585
A_07_P012323	b3038
A_07_P012973	b3309
A_07_P045267	Z3322
A_07_P047340	Z5704
A_07_P046960	Z1188
A_07_P012691	b3244
A_07_P058177	ECs1759
A_07_P043837	Z0503
A_07_P017691	b4403
A_07_P002996	b0214
A_07_P059707	ECs4093
A_07_P031007	c_0446
A_07_P033050	c_3568
A_07_P039071	c_4693
A_07_P007058	b1221
A_07_P011598	b4176
A_07_P057078	ECs1059
A_07_P011276	b4108
A_07_P032268	c_2716
A_07_P060427	ECs1380
A_07_P037472	c_4977
A_07_P015040	b1935
A_07_P013277	b2444
A_07_P034580	c_4276
A_07_P004077	b4310
A_07_P018744	b1739
A_07_P005392	b0990
A_07_P030071	c_2962
A_07_P016340	b0510
A_07_P002831	b0175
A_07_P054028	ECs0454
A_07_P043020	Z3937
A_07_P035887	c_0184
A_07_P010209	b0738
A_07_P044964	Z3167
A_07_P047610	Z2048
A_07_P007936	b0246
A_07_P039207	c_4763
A_07_P016883	b3588
A_07_P006185	b2840
A_07_P020665	b1606
A_07_P052891	ECs2981
A_07_P062558	ECs1312
A_07_P057658	ECs4652
A_07_P002391	b2789
A_07_P015520	b2040
A_07_P035826	c_0166
A_07_P046211	Z4865
A_07_P034442	c_4200
A_07_P058881	ECs0126
A_07_P006408	b2888
A_07_P057247	ECs1097
A_07_P058430	ECs1821
A_07_P005914	b3809
A_07_P041136	c_1793
A_07_P053181	ECs3179
A_07_P009234	b1428
A_07_P010448	ABE-0285054
A_07_P037790	c_5127
A_07_P039749	c_4434
A_07_P017689	b4401
A_07_P049484	Z4999
A_07_P058640	ECs1952
A_07_P008325	b0326
A_07_P017705	b3335
A_07_P042754	Z3626
A_07_P020513	b1575
A_07_P006253	b2854
A_07_P021084	b0394
A_07_P036593	c_3683
A_07_P000316	b3118
A_07_P016003	b1865
A_07_P031020	c_0454
A_07_P054538	ECs2194
A_07_P009570	b1496
A_07_P037718	c_5080
A_07_P005146	b0940
A_07_P048416	Z2400
A_07_P037957	c_5185
A_07_P004976	b0906
A_07_P051042	Z1325
A_07_P015802	b1822
A_07_P041390	c_5103
A_07_P007093	b1228
A_07_P046416	Z0955
A_07_P015715	b1804
A_07_P010964	b0055
A_07_P056534	ECs3930
A_07_P054523	ECs2191
A_07_P032809	c_3423
A_07_P048916	ABH-0244112
A_07_P031357	c_0697
A_07_P048599	Z4471
A_07_P001269	b1007
A_07_P049206	Z0147
A_07_P005186	b0948
A_07_P060834	ECs1557
A_07_P056073	ECs3614
A_07_P044661	Z3021
A_07_P062444	ECs1285
A_07_P046114	Z4823
A_07_P007564	b3526
A_07_P033966	c_1165
A_07_P011073	b0078
A_07_P006155	b2834
A_07_P041092	c_1151
A_07_P058973	ECs5129
A_07_P015921	b1849
A_07_P008320	b0325
A_07_P004661	b0842
A_07_P060414	ECs1377
A_07_P057552	ECs4587
A_07_P037630	c_5037
A_07_P007337	b3480
A_07_P042804	Z3673
A_07_P001549	b1069
A_07_P030120	c_3009
A_07_P038648	c_1594
A_07_P017833	b3361
A_07_P033412	c_0820
A_07_P032934	c_3517
A_07_P047531	Z5933
A_07_P038427	c_1541
A_07_P046910	Z1174
A_07_P007979	b0254
A_07_P032846	c_3470
A_07_P036560	c_3675
A_07_P040093	c_4540
A_07_P019918	b2608
A_07_P049070	ABH-0244170
A_07_P012792	b3265
A_07_P047021	Z5411
A_07_P034450	c_4204
A_07_P003254	b2098
A_07_P021122	b0402
